model,suite,task_label,task_text,n_layers,n_heads,k,n_ffn_active,n_attn_layers,compute_horizon,compute_horizon_pct,skip_com_pct,fragmentation,tail_skip_pct,late_attn_frac,attn_cutoff_pct,ffn_profile,attn_profile
gpt2-large,surface,Sky color (trivial),The sky is,36,20,58,28,30,27,0.7778,0.9,1,0.7778,0.4167,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85, 0.9, 1.0, 0.8, 0.8, 0.9, 0.9, 0.0, 0.85, 0.75, 0.7, 0.4, 0.4, 0.7, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.25, 0.35, 0.65]"
gpt2-large,surface,Boiling point (trivial),Water boils at one hundred degrees,36,20,62,31,31,34,0.9722,0.6514,4,0.9722,0.5833,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.85, 0.8, 1.0, 0.8, 0.4, 0.9, 0.8, 0.8, 0.35, 0.0, 0.65, 0.0, 0.75, 0.2, 0.55, 1.0]"
gpt2-large,surface,Number sequence,One two three four,36,20,54,22,32,24,0.6944,0.8061,3,0.6944,0.2667,0.9722,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 0.6, 0.85, 1.0, 0.9, 0.85, 0.75, 0.9, 0.65, 0.6, 0.55, 0.85, 0.6, 0.35, 0.5, 0.6, 0.0, 0.5, 0.15, 0.25, 0.0, 0.0, 0.4, 0.4, 0.0]"
gpt2-large,surface,Dog sentence (surface),The dog barked at the,36,20,54,22,32,21,0.6111,0.8143,1,0.6111,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.85, 0.75, 0.85, 0.9, 0.5, 0.7, 0.0, 0.25, 0.4, 0.25, 0.0, 0.2, 0.25, 0.0, 0.0, 0.55, 0.95]"
gpt2-large,surface,Greeting (surface),"Hello, my name",36,20,60,31,29,34,0.9722,0.2571,2,0.9722,0.3833,1.0,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 0.9, 0.0, 0.0, 0.85, 0.85, 0.0, 0.9, 0.8, 0.35, 0.6, 0.3, 0.5, 0.9, 0.0, 0.0, 0.0, 0.0, 0.8, 0.1, 0.25, 0.8]"
gpt2-large,surface,Cat sentence (surface),The cat sat on the,36,20,58,25,33,34,0.9722,0.8312,2,0.9722,0.6,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 0.9, 0.85, 0.9, 0.65, 0.8, 0.0, 0.65, 0.55, 0.75, 0.3, 0.7, 0.8, 0.0, 0.95, 0.55, 0.0, 0.25, 0.55, 1.0]"
gpt2-large,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,36,20,59,26,33,28,0.8056,0.7314,3,0.8056,0.7667,1.0,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 0.9, 0.95, 0.75, 1.0, 0.8, 0.95, 0.7, 0.75, 0.95, 0.85, 0.85, 0.55, 0.25, 0.0, 0.0, 0.0, 0.85, 0.5, 0.95]"
gpt2-large,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,36,20,56,24,32,23,0.6667,0.8429,1,0.6667,0.85,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 0.95, 1.0, 0.95, 1.0, 1.0, 1.0, 0.7, 0.9, 0.0, 0.95, 0.95, 0.95, 0.45, 0.0, 0.0, 0.0, 0.85, 0.75, 0.95]"
gpt2-large,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],36,20,46,21,25,20,0.5833,0.8,1,0.5833,0.0,0.6944,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 0.9, 1.0, 1.0, 0.85, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gpt2-large,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],36,20,47,21,26,20,0.5833,0.8,1,0.5833,0.0,0.7222,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 1.0, 0.95, 1.0, 0.95, 0.9, 1.0, 1.0, 0.9, 0.9, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gpt2-large,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],36,20,45,20,25,19,0.5556,0.7857,1,0.5556,0.0,0.6944,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.95, 1.0, 0.95, 0.9, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gpt2-large,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],36,20,45,20,25,19,0.5556,0.7857,1,0.5556,0.0,0.7222,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.95, 1.0, 0.9, 1.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-70m,mixed,Surface,The dog barked loudly.,6,8,9,5,4,5,1.0,0.0,1,1.0,0.2917,0.6667,"[0, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.875, 0.0, 0.0]"
pythia-70m,mixed,Factual recall,The capital of France is,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,mixed,Trivial arithmetic,2 + 2 =,6,8,9,6,3,5,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
pythia-70m,mixed,1-hop chain,Alice is the mother of Bob. Alice's child is,6,8,9,6,3,5,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
pythia-70m,mixed,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,mixed,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],6,8,9,5,4,5,1.0,0.8,1,1.0,0.3333,0.6667,"[1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,mixed,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",6,8,9,5,4,5,1.0,0.8,1,1.0,0.3333,0.6667,"[1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,mixed,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,mixed,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,mixed,Analogy,Paris is to France as Berlin is to,6,8,9,6,3,5,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
pythia-70m,surface,Sky color (trivial),The sky is,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,surface,Boiling point (trivial),Water boils at one hundred degrees,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,surface,Number sequence,One two three four,6,8,9,6,3,5,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
pythia-70m,surface,Dog sentence (surface),The dog barked at the,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,surface,Greeting (surface),"Hello, my name",6,8,10,6,4,5,1.0,1.0,0,1.0,0.2083,1.0,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.625]"
pythia-70m,surface,Cat sentence (surface),The cat sat on the,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,6,8,9,6,3,5,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
pythia-70m,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,6,8,10,6,4,5,1.0,1.0,0,1.0,0.3333,0.6667,"[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],6,8,9,5,4,5,1.0,0.8,1,1.0,0.3333,0.6667,"[1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],6,8,9,5,4,5,1.0,0.8,1,1.0,0.3333,0.6667,"[1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],6,8,9,5,4,5,1.0,0.8,1,1.0,0.3333,0.6667,"[1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-70m,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],6,8,9,5,4,5,1.0,0.8,1,1.0,0.3333,0.6667,"[1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
pythia-160m,mixed,Surface,The dog barked loudly.,12,12,18,12,6,11,1.0,1.0,0,1.0,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.667, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0]"
pythia-160m,mixed,Factual recall,The capital of France is,12,12,18,11,7,11,1.0,0.7273,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,Trivial arithmetic,2 + 2 =,12,12,17,12,5,11,1.0,1.0,0,1.0,0.0,0.4167,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.917, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,11,7,11,1.0,0.7273,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 0.0, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",12,12,18,10,8,11,1.0,0.8636,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,mixed,Analogy,Paris is to France as Berlin is to,12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.917, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,surface,Sky color (trivial),The sky is,12,12,18,12,6,11,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,surface,Boiling point (trivial),Water boils at one hundred degrees,12,12,18,12,6,11,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,surface,Number sequence,One two three four,12,12,11,5,6,11,1.0,0.6364,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[1.0, 0.833, 1.0, 1.0, 0.0, 1.0, 0.583, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,surface,Dog sentence (surface),The dog barked at the,12,12,18,10,8,11,1.0,0.6818,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.5, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,surface,Greeting (surface),"Hello, my name",12,12,18,12,6,11,1.0,1.0,0,1.0,0.0,0.5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,surface,Cat sentence (surface),The cat sat on the,12,12,18,11,7,11,1.0,0.6364,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 0.0, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.917, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,18,11,7,11,1.0,0.9091,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,11,7,11,1.0,0.7273,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,17,9,8,11,1.0,0.8182,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.667, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,15,7,8,11,1.0,0.7273,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.833, 0.583, 0.0, 0.0, 0.0, 0.0]"
pythia-160m,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,16,8,8,11,1.0,0.7727,1,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.5, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Surface,The dog barked loudly.,24,16,39,23,16,23,1.0,0.8261,1,1.0,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.812, 0.0, 0.0, 0.875, 0.938, 0.75, 0.5, 0.562, 0.0, 0.062, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Factual recall,The capital of France is,24,16,37,20,17,23,1.0,0.8478,3,1.0,0.0,0.8333,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.75, 0.875, 0.812, 1.0, 0.0, 0.0, 0.438, 0.5, 0.0, 0.438, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Trivial arithmetic,2 + 2 =,24,16,35,22,13,23,1.0,0.8478,1,1.0,0.0,0.625,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,1-hop chain,Alice is the mother of Bob. Alice's child is,24,16,39,21,18,23,1.0,0.7971,2,1.0,0.0,0.875,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 0.75, 0.938, 0.875, 0.875, 0.562, 0.875, 0.0, 0.0, 0.438, 0.438, 0.25, 0.0, 0.0, 0.0]"
pythia-410m,mixed,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,24,16,32,17,15,23,1.0,0.8199,2,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 0.75, 1.0, 0.875, 0.938, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,31,17,14,23,1.0,0.8199,2,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.812, 0.938, 0.875, 0.812, 1.0, 0.875, 0.938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",24,16,39,20,19,23,1.0,0.8478,3,1.0,0.0,0.8333,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 0.75, 1.0, 0.875, 0.875, 0.875, 0.938, 0.812, 0.625, 0.0, 0.375, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",24,16,40,22,18,23,1.0,0.8043,2,1.0,0.0,0.875,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 1.0, 0.812, 1.0, 0.875, 0.875, 0.0, 0.875, 0.0, 0.875, 0.75, 0.75, 0.375, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",24,16,38,20,18,23,1.0,0.8913,1,1.0,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.938, 0.812, 0.812, 0.875, 0.875, 1.0, 0.938, 0.625, 0.562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,mixed,Analogy,Paris is to France as Berlin is to,24,16,37,18,19,23,1.0,0.8478,1,1.0,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 0.938, 0.938, 0.875, 0.625, 0.688, 0.938, 0.625, 0.375, 0.0, 0.188, 0.0, 0.0, 0.0, 0.0]"
